path,heading,longitude,latitude,quarternion0,quarternion1,quarternion2,quarternion3,vel0,vel1,vel2,steering,throttle,brake,speed
IMG/15395510-1489358451693208.jpeg,0,0,0,0,0,0,0,0,0,0,-7.08982323858539E+021,-7.08983224578465E+021,-7.08983224578465E+021,0
IMG/15395510-1489358451733166.jpeg,0,-2.135204,0.690045,0.01107,0.013527,0.007331,0.99982,0.064601,0.058511,0.022247,-7.08982323858539E+021,-7.08983224578465E+021,-7.08983224578465E+021,0.0899541846
IMG/15395510-1489358451773203.jpeg,0,-2.135204,0.690045,0.011091,0.013524,0.007528,0.999819,0.061131,0.05542,0.026775,-7.08982323858539E+021,-7.08983224578465E+021,-7.08983224578465E+021,0.0867483498
IMG/15395510-1489358451813215.jpeg,0,-2.135204,0.690045,0.011117,0.0134,0.008365,0.999813,0.056946,0.053731,0.025592,-7.08982323858539E+021,-7.08983224578465E+021,-7.08983224578465E+021,0.0823700051
IMG/15395510-1489358451853173.jpeg,0,-2.135204,0.690045,0.011221,0.013363,0.009114,0.999806,0.051961,0.047515,0.023386,-7.08982323858539E+021,-7.08983224578465E+021,-7.08983224578465E+021,0.0741924911
IMG/15395510-1489358451893188.jpeg,0,-2.135204,0.690045,0.011251,0.013184,0.010163,0.999798,0.047529,0.043951,0.022363,-7.08982323858539E+021,-7.08983224578465E+021,-7.08983224578465E+021,0.0684894153
IMG/15395510-1489358451933167.jpeg,0,-2.135204,0.690045,0.011216,0.013242,0.010622,0.999793,0.049526,0.046177,0.026881,-7.08982323858539E+021,-7.08983224578465E+021,-7.08983224578465E+021,0.0728541568
IMG/15395510-1489358451973162.jpeg,0,-2.135204,0.690045,0.0113,0.013141,0.011024,0.999789,0.04428,0.043858,0.027557,-7.08982323858539E+021,-7.08983224578465E+021,-7.08983224578465E+021,0.0681441913
IMG/15395510-1489358452013234.jpeg,0,-2.135204,0.690045,0.011276,0.013165,0.011751,0.999781,0.041405,0.041457,0.027377,-7.08982323858539E+021,-7.08983224578465E+021,-7.08983224578465E+021,0.0646726913
IMG/15395510-1489358452053196.jpeg,0,-2.135204,0.690045,0.011279,0.01308,0.011934,0.99978,0.037432,0.039415,0.02795,-7.08982323858539E+021,-7.08983224578465E+021,-7.08983224578465E+021,0.0611220038
