path,heading,longitude,latitude,quarternion0,quarternion1,quarternion2,quarternion3,vel0,vel1,vel2,steering,throttle,brake,speed
IMG/15395510-1489254863139378.jpeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG/15395510-1489254863339216.jpeg,0,-2.135204,0.690044,0.006717,-0.003382,0.211303,0.977392,0.009655,0.011152,0.017195,6.529277,0,0,0.0226551132
IMG/15395510-1489254863539252.jpeg,0,-2.135204,0.690044,0.006712,-0.00337,0.211323,0.977387,0.013076,0.009249,0.023413,6.529277,0,0,0.028367135
IMG/15395510-1489254863739272.jpeg,0,-2.135204,0.690044,0.006594,-0.003427,0.211284,0.977397,0.013092,0.011309,0.020639,6.529277,0,0,0.0269306938
IMG/15395510-1489254863939228.jpeg,0,-2.135204,0.690044,0.006633,-0.003382,0.21131,0.977391,0.012979,0.00663,0.012001,6.536258,0,0,0.0188794953
IMG/15395510-1489254864139218.jpeg,0,-2.135204,0.690044,0.006306,-0.003415,0.211277,0.9774,0.018465,0.00828,0.010514,6.529277,0,0,0.0228047982
IMG/15395510-1489254864339236.jpeg,0,-2.135204,0.690044,0.006396,-0.003475,0.211376,0.977378,0.010434,0.009856,0.013731,6.532767,0,0,0.0198632689
IMG/15395510-1489254864539313.jpeg,0,-2.135204,0.690044,0.006387,-0.003451,0.211351,0.977383,0.015162,0.008586,0.020385,6.534513,0,0,0.0268170443
IMG/15395510-1489254864739232.jpeg,0,-2.135204,0.690044,0.006478,-0.003376,0.211319,0.97739,0.015602,0.006343,0.01816,6.529277,0,0,0.0247677543
IMG/15395510-1489254864939529.jpeg,0,-2.135204,0.690044,0.006316,-0.003415,0.211364,0.977381,0.015551,0.004995,0.021421,6.555457,0,0,0.0269377591
IMG/15395510-1489254865139215.jpeg,0,-2.135204,0.690044,0.006304,-0.00341,0.211357,0.977383,0.015107,0.007318,0.015716,6.544985,0,0,0.0229949392
IMG/15395510-1489254865338229.jpeg,0,-2.135204,0.690044,0.006221,-0.003445,0.211288,0.977398,0.01497,0.005416,0.017131,6.55022,0,0,0.0233860026
IMG/15395510-1489254865538224.jpeg,0,-2.135204,0.690044,0.006179,-0.003523,0.211259,0.977404,0.014147,0.007417,0.021991,6.544985,0,0,0.0271800217
IMG/15395510-1489254865738231.jpeg,0,-2.135204,0.690044,0.00606,-0.003567,0.211232,0.977411,0.014799,0.006079,0.020962,6.55022,0,0,0.0263698708
IMG/15395510-1489254865938273.jpeg,0,-2.135204,0.690044,0.005844,-0.003805,0.211289,0.977399,0.008285,0.00495,0.011799,6.544985,0,0,0.0152433633
IMG/15395510-1489254866138227.jpeg,0,-2.135204,0.690044,0.005258,-0.004504,0.211183,0.977422,0.001378,0.008062,0.001979,6.518805,0,0,0.0084149373
IMG/15395510-1489254866339179.jpeg,0,-2.135204,0.690044,0.005037,-0.004715,0.211291,0.977399,0.016405,0.00756,0.027595,6.517059,0,0,0.0329812318
IMG/15395510-1489254866538230.jpeg,0,-2.135204,0.690044,0.005083,-0.004549,0.211338,0.977389,0.020433,0.009142,0.025206,6.517059,0,0,0.0337109194
IMG/15395510-1489254866742110.jpeg,0,-2.135204,0.690044,0.004934,-0.004551,0.211308,0.977396,0.017551,0.006378,0.02267,6.532767,0,0,0.0293708254
IMG/15395510-1489254866931224.jpeg,0,-2.135204,0.690044,0.004943,-0.004495,0.211309,0.977397,0.015511,0.007019,0.016058,6.531022,0,0,0.0234033512
IMG/15395510-1489254867026097.jpeg,0,-2.135204,0.690044,0.005141,-0.004477,0.211291,0.977399,0.015259,0.003288,0.007736,6.517059,0,0,0.0174210712
IMG/15395510-1489254867076221.jpeg,0,-2.135204,0.690044,0.005101,-0.00451,0.21126,0.977406,0.013062,0.00691,0.005348,6.513569,0,0,0.0157151216
IMG/15395510-1489254867119247.jpeg,0,-2.135204,0.690044,0.005051,-0.004511,0.211323,0.977393,0.020297,0.006147,0.012841,6.513569,0,0,0.024792037
IMG/15395510-1489254867161590.jpeg,0,-2.135204,0.690044,0.005079,-0.004441,0.211329,0.977392,0.021688,0.00784,0.010965,6.517059,0,0,0.0255355863
IMG/15395510-1489254867214526.jpeg,0,-2.135204,0.690044,0.005131,-0.004471,0.211279,0.977402,0.012835,-0.000294,0.006757,6.518805,0,0,0.0145079533
IMG/15395510-1489254867254231.jpeg,0,-2.135204,0.690044,0.005128,-0.004426,0.211239,0.977411,0.024159,0.008588,0.012612,6.513569,0,0,0.0285740016
IMG/15395510-1489254867294255.jpeg,0,-2.135204,0.690044,0.005245,-0.004335,0.211362,0.977384,0.031968,0.011694,0.021503,6.517059,0,0,0.0402626585
IMG/15395510-1489254867334228.jpeg,0,-2.135204,0.690044,0.004989,-0.004187,0.211617,0.977331,-0.003653,-0.005558,0.005358,6.518805,0,0,0.0085407223
IMG/15395510-1489254867374240.jpeg,0,-2.135204,0.690044,0.005192,-0.004474,0.211204,0.977418,0.019217,-0.011587,0.031808,6.513569,0,0,0.0389268612
IMG/15395510-1489254867415030.jpeg,0,-2.135204,0.690044,0.005664,-0.004434,0.211429,0.977367,0.035428,0.013437,0.029937,6.513569,0,0,0.0482899588
IMG/15395510-1489254867454215.jpeg,0,-2.135204,0.690044,0.005191,-0.004413,0.211779,0.977294,0.025736,0.007663,0.025574,6.513569,0,0,0.0370822429
IMG/15395510-1489254867494542.jpeg,0,-2.135204,0.690044,0.005176,-0.004139,0.211778,0.977295,0.015651,0.000742,0.023097,6.517059,0,0,0.0279101375
IMG/15395510-1489254867534231.jpeg,0,-2.135204,0.690044,0.005067,-0.004011,0.211773,0.977297,0.018524,0.011327,0.022184,6.517059,0,0,0.0310414136
IMG/15395510-1489254867574223.jpeg,0,-2.135204,0.690044,0.006824,-0.00389,0.21166,0.977312,0.017896,0.00185,0.024161,6.518805,0,0,0.0301237985
IMG/15395510-1489254867614250.jpeg,0,-2.135204,0.690044,0.006536,-0.003683,0.211805,0.977283,0.015486,0.02316,0.026453,6.517059,0,0,0.038418264
IMG/15395510-1489254867654253.jpeg,0,-2.135204,0.690044,0.006501,-0.003751,0.211875,0.977268,0.021225,0.000929,0.022688,6.518805,0,0,0.0310822942
IMG/15395510-1489254867694351.jpeg,0,-2.135204,0.690044,0.006803,-0.003764,0.211914,0.977257,0.017035,0.009363,0.021288,6.517059,0,0,0.0288276939
IMG/15395510-1489254867734332.jpeg,0,-2.135204,0.690044,0.006794,-0.003813,0.211923,0.977255,0.024054,0.011635,0.02941,6.518805,0,0,0.039735579
IMG/15395510-1489254867774495.jpeg,0,-2.135204,0.690044,0.00709,-0.00372,0.212,0.977237,0.020057,0.00596,0.019422,6.517059,0,0,0.0285485364
IMG/15395510-1489254867814385.jpeg,0,-2.135204,0.690044,0.006492,-0.003817,0.212075,0.977224,0.013959,0.025726,0.022297,6.517059,0,0,0.0367945236
IMG/15395510-1489254867854298.jpeg,0,-2.135204,0.690044,0.006748,-0.003795,0.212214,0.977193,0.021739,0.007197,0.006151,6.518805,0,0,0.0237110888
