path,heading,longitude,latitude,quarternion0,quarternion1,quarternion2,quarternion3,vel0,vel1,vel2,steering,throttle,brake
path,heading,longitude,latitude,quarternion0,quarternion1,quarternion2,quarternion3,vel0,vel1,vel2,steering,throttle,brake
path,heading,longitude,latitude,quarternion0,quarternion1,quarternion2,quarternion3,vel0,vel1,vel2,steering,throttle,brake
path,heading,longitude,latitude,quarternion0,quarternion1,quarternion2,quarternion3,vel0,vel1,vel2,steering,throttle,brake
IMG/15395510-1490899299148299.jpeg,0.000000,-2.135209,0.690024,0.006844,-0.033693,0.700792,0.712537,-0.174431,3.421517,0.090212,0.017453,0.000000,0.018311
IMG/15395510-1490899299215062.jpeg,0.000000,-2.135209,0.690024,0.006736,-0.033336,0.701433,0.711923,-0.210984,3.675349,0.088452,0.017453,0.000000,0.018311
IMG/15395510-1490899299281422.jpeg,0.000000,-2.135209,0.690024,0.006605,-0.033270,0.701752,0.711613,-0.215742,3.814390,0.083771,0.017453,0.000000,0.018311
IMG/15395510-1490899299353571.jpeg,0.000000,-2.135209,0.690024,0.006762,-0.033495,0.708719,0.704663,-0.264034,4.079770,0.073673,0.017453,0.000000,0.018311
IMG/15395510-1490899299420064.jpeg,0.000000,-2.135209,0.690024,0.006842,-0.033567,0.709058,0.704318,-0.308369,4.203444,0.078227,0.017453,0.000000,0.018311
IMG/15395510-1490899299486482.jpeg,0.000000,-2.135209,0.690024,0.006868,-0.033544,0.709409,0.703965,-0.314084,4.343314,0.086455,0.017453,0.000000,0.018311
IMG/15395510-1490899299553211.jpeg,0.000000,-2.135209,0.690024,0.007170,-0.033171,0.710130,0.703252,-0.328175,4.621631,0.092768,0.017453,0.000000,0.018311
IMG/15395510-1490899299619233.jpeg,0.000000,-2.135209,0.690025,0.007569,-0.032847,0.716565,0.696706,-0.370605,4.746014,0.098369,0.017453,0.000000,0.018311
IMG/15395510-1490899299686169.jpeg,0.000000,-2.135209,0.690025,0.007608,-0.032512,0.716921,0.696354,-0.423528,4.866389,0.101452,0.017453,0.000000,0.018311
IMG/15395510-1490899299753347.jpeg,0.000000,-2.135209,0.690025,0.007492,-0.032239,0.717599,0.695670,-0.453804,5.137236,0.102063,0.017453,0.000000,0.018311
IMG/15395510-1490899299819597.jpeg,0.000000,-2.135209,0.690025,0.007487,-0.032273,0.717973,0.695283,-0.469541,5.270616,0.103244,0.017453,0.000000,0.018311
IMG/15395510-1490899299886332.jpeg,0.000000,-2.135209,0.690025,0.007668,-0.032212,0.722856,0.690205,-0.524679,5.390577,0.105422,0.017453,0.000000,0.018311
IMG/15395510-1490899299952225.jpeg,0.000000,-2.135209,0.690025,0.007573,-0.032161,0.723625,0.689402,-0.575905,5.636671,0.115300,0.017453,0.000000,0.018311
IMG/15395510-1490899300019572.jpeg,0.000000,-2.135209,0.690025,0.007549,-0.032062,0.724040,0.688971,-0.588217,5.764775,0.119298,0.015708,0.000000,0.018311
IMG/15395510-1490899300086230.jpeg,0.000000,-2.135209,0.690025,0.007619,-0.032104,0.724440,0.688548,-0.602715,5.896747,0.116389,0.012217,0.000000,0.018311
IMG/15395510-1490899300152105.jpeg,0.000000,-2.135209,0.690025,0.007853,-0.031923,0.729160,0.683553,-0.701011,6.138133,0.119061,0.012217,0.000000,0.018311
IMG/15395510-1490899300220050.jpeg,0.000000,-2.135209,0.690025,0.007921,-0.031897,0.729440,0.683255,-0.717384,6.269436,0.118532,0.012217,0.000000,0.018311
IMG/15395510-1490899300285272.jpeg,0.000000,-2.135209,0.690025,0.008062,-0.031923,0.729703,0.682971,-0.735897,6.397967,0.121924,0.012217,0.000000,0.018311
IMG/15395510-1490899300352317.jpeg,0.000000,-2.135209,0.690025,0.008101,-0.031931,0.729968,0.682688,-0.753042,6.522579,0.132378,0.012217,0.000000,0.018311
