,path,heading,longitude,latitude,quarternion0,quarternion1,quarternion2,quarternion3,vel0,vel1,vel2,steering,throttle,brake,speed
0,IMG/15395510-1489359352755164.jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.396411,-2.0053154201390285e+17,0.0,0.0
1,IMG/15395510-1489359352795302.jpeg,0.0,-2.135204,0.690045,0.004181,-0.004111999999999999,0.020447,0.9997739999999999,0.10269400000000001,0.11441300000000001,0.015621000000000001,-3.3946650000000003,-2.0053154201390285e+17,0.0,0.1545328697915107
2,IMG/15395510-1489359352835210.jpeg,0.0,-2.135204,0.690045,0.0045060000000000005,-0.004288,0.021275,0.9997540000000001,0.109856,0.12296300000000002,0.021738999999999998,-3.3876839999999997,-2.0053154201390285e+17,0.0,0.16631543592222583
3,IMG/15395510-1489359352875174.jpeg,0.0,-2.135204,0.690045,0.004471,-0.0041670000000000006,0.021711,0.9997459999999999,0.102719,0.111615,0.020149,-3.3894290000000002,-2.0053154201390285e+17,0.0,0.15301987905824527
4,IMG/15395510-1489359352915189.jpeg,0.0,-2.135204,0.690045,0.004627,-0.004226,0.021951,0.9997389999999999,0.100642,0.11059100000000001,0.018437000000000002,-3.3946650000000003,-2.0053154201390285e+17,0.0,0.15066221959734963
5,IMG/15395510-1489359352955174.jpeg,0.0,-2.135204,0.690045,0.004685,-0.0043100000000000005,0.02161,0.9997459999999999,0.099578,0.10843599999999999,0.011691,-3.3894290000000002,-2.0053154201390285e+17,0.0,0.14768487959503504
6,IMG/15395510-1489359352995164.jpeg,0.0,-2.135204,0.690045,0.004746,-0.004297,0.021488,0.999749,0.098876,0.108855,0.005346,-3.3894290000000002,-2.0053154201390285e+17,0.0,0.14715452462292827
7,IMG/15395510-1489359353035184.jpeg,0.0,-2.135204,0.690045,0.004803,-0.004419,0.021184,0.9997540000000001,0.105458,0.11468800000000001,0.004323,-3.3894290000000002,-2.0053154201390285e+17,0.0,0.15586345125461581
8,IMG/15395510-1489359353075167.jpeg,0.0,-2.135204,0.690045,0.004739,-0.004326,0.021544,0.9997469999999999,0.10511400000000001,0.114666,0.003163,-3.3946650000000003,-2.0053154201390285e+17,0.0,0.15558678967380232
9,IMG/15395510-1489359353115295.jpeg,0.0,-2.135204,0.690045,0.004759,-0.004353,0.021522,0.999748,0.102557,0.11199400000000001,0.004732,-3.3946650000000003,-2.0053154201390285e+17,0.0,0.15193085963358463
